Flightnumber;Flightcount;Timestamp Start of Flight;Engine 1 Labeled Avg;Engine 1 Predicted Avg;Engine 1 Error (Avg of Labeled - Predicted);Engine 1 Error %;rmse 1;Engine 2 Labeled Avg;Engine 2 Predicted Avg;Engine 2 Error (Avg of Labeled - Predicted);Engine 2 Error %;rmse 2;Engine 3 Labeled Avg;Engine 3 Predicted Avg;Engine 3 Error (Avg of Labeled - Predicted);Engine 3 Error %;rmse 3;Engine 4 Labeled Avg;Engine 4 Predicted Avg;Engine 4 Error (Avg of Labeled - Predicted);Engine 4 Error %;rmse 4;Combined Labeled Avg;Combined Predicted Avg;Combined Error (Avg of Labeled - Predicted);Combined Error %;CruiseTime (hrs.);FlightTime (hrs.);GrossWeight;Airport Depature;Airport Arrival
16;-112;;1254.168646;1253.958563;0.210035245;0.012378834;5.320109214;1208.813494;1208.889941;-0.076481396;-0.004676705;4.252319756;1232.760044;1232.751949;0.008031535;0.000481575;4.151512025;1264.385325;1264.311345;0.07400832;0.004326579;4.334770976;4960.127509;4959.911798;0.215593703;0.003212823;;;186741.3719;;
17;-111;;1175.883261;1175.819217;0.064013245;0.003427725;5.154661711;1133.750908;1133.732866;0.018011252;0.001000291;3.624017447;1157.914701;1157.892671;0.02205776;0.001199458;3.539143118;1184.968641;1184.960618;0.007985114;0.000424302;4.075384487;4652.517512;4652.405372;0.112067372;0.001516671;;;158662.0354;;
18;-110;;1297.150151;1296.933122;0.217055215;0.012031569;5.509481566;1249.365383;1249.278066;0.087422172;0.005031233;4.020626562;1272.089963;1272.021794;0.06814305;0.003851643;4.258659852;1306.913787;1307.073775;-0.159963909;-0.008800703;4.384238014;5125.519284;5125.306758;0.212656528;0.002983205;;;185826.3427;;
19;-109;;1079.763896;1079.391166;0.372763159;0.021696069;4.613996894;1041.685354;1041.576154;0.1092004;0.006588166;3.73323267;1061.006412;1061.041425;-0.035053041;-0.002076273;3.290085218;1087.479822;1087.291474;0.188294492;0.010881613;3.410070606;4269.935483;4269.300217;0.635205011;0.009349093;;;150926.9037;;
20;-108;;933.0239638;932.9449104;0.079081577;0.005318586;3.604046202;902.2999579;902.2975325;0.002441223;0.000169774;2.86082487;915.8670559;915.7212956;0.145728275;0.00998447;2.707721862;943.2092891;943.3323617;-0.123;-0.008182965;3.177100974;3694.400267;3694.2961;0.104251076;0.001770721;;;132206.7683;;
23;-107;;978.4537551;978.8725414;-0.418739441;-0.025127295;4.231321257;945.7928646;946.2307588;-0.437832643;-0.027180302;2.858468021;961.0816018;960.9798017;0.101895279;0.006224952;2.702361727;988.4816466;988.8184553;-0.336769481;-0.020003514;3.004329468;3873.809868;3874.901557;-1.091446286;-0.016542694;;;137467.3503;;
24;-106;;854.0019558;853.9735075;0.028506105;0.001748782;3.640919731;826.2324966;826.1652888;0.067228443;0.004262922;2.959236295;841.5171395;841.2762392;0.240914997;0.014998833;2.725560645;862.7059617;862.1959254;0.510075648;0.030976218;3.020537365;3384.457554;3383.610961;0.846725193;0.013107202;;;126389.3976;;
25;-105;;953.5958539;953.5055922;0.090264542;0.004772496;3.996254788;920.1381404;920.1314298;0.006751039;0.000369922;2.78546406;939.5326506;939.5858227;-0.053134959;-0.00285142;3.098102222;960.2164851;960.1619607;0.054526774;0.002863079;3.185997097;3773.48313;3773.384805;0.098407396;0.001314856;;;125693.4062;;
26;-104;;964.4780115;964.6371693;-0.159123083;-0.008850618;4.023843793;929.8630957;930.0157605;-0.152712626;-0.008810259;2.989461501;947.9031151;948.0637949;-0.160683541;-0.009093691;2.806903878;970.8439485;970.864414;-0.020456082;-0.001130331;2.933441982;3813.088171;3813.581139;-0.492975331;-0.006935553;;;139966.687;;
27;-103;;783.241382;783.227669;0.013667484;0.000893186;3.050287536;755.5473739;755.5380686;0.00931861;0.000631304;2.299444963;767.8587687;767.9141216;-0.055402778;-0.003693169;2.147815045;790.6384527;790.703212;-0.064763358;-0.004192764;2.415101043;3097.285977;3097.383071;-0.097180042;-0.001605997;;;115346.2899;;
28;-102;;1153.910156;1153.842851;0.067232778;0.00393172;4.554467744;1110.962226;1111.13843;-0.176264703;-0.010706304;3.497424872;1132.330457;1131.984666;0.345844789;0.020610168;3.488714478;1162.207;1161.951212;0.255804865;0.014852474;3.835406066;4559.40984;4558.917158;0.492617728;0.007290795;;;169646.3071;;
29;-101;;1213.216931;1213.236498;-0.019629749;-0.001195148;5.095864281;1171.57129;1171.736945;-0.165632277;-0.010442908;3.762435659;1190.653598;1190.647102;0.006481205;0.000402083;3.798101503;1223.373928;1223.299583;0.074298287;0.004486057;4.09362222;4798.815747;4798.920128;-0.104482535;-0.001608255;;;178035.7076;;
30;-100;;1027.16152;1027.080463;0.081049714;0.004575636;4.30186876;990.6148791;990.5669401;0.047984583;0.002808896;2.98989497;1006.177915;1006.246658;-0.068745616;-0.00396195;2.848858796;1034.028398;1034.158732;-0.130356827;-0.007310382;3.232036285;4057.982712;4058.052793;-0.070068145;-0.001001265;;;147004.4148;;
31;-99;;1107.373005;1106.993341;0.379705942;0.020877609;4.566813293;1067.699944;1067.505435;0.194482284;0.011090679;3.298747551;1087.358753;1087.052277;0.306403823;0.017157288;3.40473358;1114.984515;1114.844855;0.139662346;0.00762672;3.494168975;4377.416218;4376.395909;1.020254395;0.014191161;;;157491.8273;;
32;-98;;1046.319102;1046.191423;0.127597932;0.007319608;4.373021666;1007.594218;1007.7757;-0.181512759;-0.010812592;3.490578569;1027.555146;1027.741856;-0.186688661;-0.010904886;3.287052111;1052.895169;1053.434178;-0.53896584;-0.030724472;3.677411322;4134.363635;4135.143157;-0.779569328;-0.011317601;;;152159.8036;;
33;-97;;1125.377873;1125.477355;-0.099503144;-0.006009551;4.750573509;1085.265487;1085.406103;-0.140662599;-0.008809398;3.693513376;1104.213576;1104.662447;-0.448957343;-0.027634754;3.687470527;1131.788469;1132.145209;-0.356756745;-0.021424492;4.013372399;4446.645405;4447.691113;-1.045879831;-0.015986482;;;168801.6263;;
37;-96;;1106.095637;1106.057246;0.038298283;0.002253947;4.392391425;1066.579328;1066.624252;-0.044941046;-0.002742882;3.264547239;1087.216555;1087.02767;0.188782925;0.01130326;3.115952875;1113.037088;1113.16032;-0.123341452;-0.007213673;3.161533816;4372.928608;4372.869488;0.05879871;0.000875291;;;160725.3492;;
38;-95;;1277.241586;1277.30335;-0.061682518;-0.003836623;5.261378536;1228.41382;1228.298098;0.115634219;0.00747828;4.900202768;1250.943273;1250.61985;0.323409353;0.020538798;4.605432949;1285.673494;1285.617603;0.055956236;0.003457625;5.083550232;5042.272173;5041.838901;0.433317289;0.006827156;;;194765.8119;;
39;-94;;963.9192412;963.4371767;0.482016666;0.028654323;4.298439553;929.2355833;929.1699347;0.065631903;0.00404723;3.237885023;945.287994;945.4658517;-0.177911661;-0.010784724;3.401856069;971.1879543;971.3067399;-0.11874551;-0.007006202;3.534166407;3809.630773;3809.379703;0.250991398;0.003775241;;;139442.5542;;
41;-93;;1259.096563;1259.472707;-0.376200913;-0.021759121;5.489247044;1216.769286;1217.122546;-0.35323611;-0.021141578;3.808093889;1236.393067;1237.053681;-0.660634388;-0.038912144;4.155197809;1268.177524;1269.05677;-0.879236629;-0.050490104;4.197636659;4980.436438;4982.705703;-2.26930804;-0.033182309;;;174575.0308;;
42;-92;;1076.315107;1076.857995;-0.542909891;-0.03104993;4.769497822;1038.714793;1039.272676;-0.557926776;-0.033063833;3.606621587;1055.781305;1056.391586;-0.610193572;-0.035576725;3.597345821;1083.816618;1084.705969;-0.889384617;-0.050513344;3.717170714;4254.627823;4257.228225;-2.600414857;-0.037622996;;;149750.8663;;
43;-91;;1010.642206;1011.435962;-0.793753734;-0.046542734;4.427882603;977.3037433;977.7997616;-0.495990198;-0.030075099;3.533350696;994.5711642;995.2518064;-0.680651975;-0.040555783;3.405294865;1017.796234;1018.661055;-0.864804112;-0.050352431;3.752664343;4000.313348;4003.148586;-2.835200019;-0.042000381;;;144993.1599;;
44;-90;;1235.036341;1235.719934;-0.683597008;-0.040200646;5.549218989;1193.159183;1194.070521;-0.911434136;-0.055480392;4.754658722;1217.304502;1218.061993;-0.757450102;-0.04519261;4.77594525;1242.223187;1243.367923;-1.144727868;-0.06692914;5.116810059;4887.723212;4891.220371;-3.497209114;-0.051966997;;;180853.2664;;
45;-89;;1329.509631;1329.936788;-0.427116536;-0.024026429;5.814055866;1282.370607;1282.676298;-0.305685511;-0.017827713;4.274902361;1307.552903;1307.621229;-0.068415283;-0.003913165;4.210723297;1342.086158;1342.477086;-0.390798028;-0.021777414;4.370031317;5261.519299;5262.711401;-1.192015358;-0.016943574;;;191494.3375;;
46;-88;;1111.875011;1111.662991;0.212054964;0.01211412;5.152002854;1072.095844;1072.079304;0.016507134;0.000977997;3.854566095;1090.770637;1090.800787;-0.030116516;-0.001753762;3.812684848;1120.372888;1120.309074;0.063826135;0.003618556;4.089696886;4395.11438;4394.852156;0.262271716;0.003790362;;;157889.4031;;
47;-87;;1166.732305;1166.81197;-0.07959373;-0.004589128;5.40094549;1126.016769;1126.138888;-0.122127498;-0.007296107;4.432418809;1148.206606;1148.219551;-0.013051936;-0.000764676;4.364667856;1172.903669;1173.319736;-0.416092355;-0.023864369;4.575663002;4613.859348;4614.490145;-0.630865518;-0.009198034;;;166580.6758;;
48;-86;;1010.945533;1011.05146;-0.105924678;-0.006112242;4.342612734;973.6413504;973.8251307;-0.183722898;-0.011007671;3.717945255;994.3828343;994.3967853;-0.013987291;-0.000820562;3.879809145;1016.697229;1017.270874;-0.573711794;-0.03291799;3.988196049;3995.666947;3996.544251;-0.877346661;-0.012808938;;;148985.3115;;
49;-85;;1170.467914;1170.063941;0.403930184;0.023955498;5.075389639;1127.587325;1127.361268;0.226096127;0.013918786;3.877865185;1149.827069;1149.494676;0.332334588;0.020063257;3.75488669;1181.003719;1180.698999;0.304791397;0.017914713;4.106144152;4628.886027;4627.618884;1.267152295;0.0190025;;;157435.0633;;
50;-84;;833.1338449;833.1956641;-0.061877722;-0.004362271;3.41449949;805.0331843;805.0133702;0.019810012;0.00144532;2.667945238;818.1876922;818.2200228;-0.032322114;-0.002320277;3.294497314;844.0358816;843.9286863;0.107153211;0.00745654;2.939916604;3300.390603;3300.357743;0.032763387;0.000583064;;;117725.474;;
51;-83;;1174.068415;1173.980119;0.088363177;0.005422742;4.520878473;1132.081316;1131.878384;0.202954375;0.012917005;3.681816669;1153.705988;1153.479486;0.226514219;0.014146251;3.217110687;1185.16297;1184.876187;0.286795173;0.017435516;3.740507053;4645.018689;4644.214177;0.804626943;0.012480964;;;178838.1488;;
52;-82;;1115.671669;1115.651519;0.020215207;0.001259194;4.799344025;1076.506388;1076.455634;0.05080605;0.003279817;4.15332845;1097.264203;1097.215099;0.049159015;0.003113457;4.122126184;1127.820516;1127.577743;0.242714167;0.014955674;4.214963467;4417.262776;4416.899995;0.362894439;0.005709235;;;172542.8336;;
53;-81;;824.1954454;824.2879862;-0.092524757;-0.005719517;3.673197311;798.360946;798.417801;-0.056881287;-0.003629959;3.224962909;815.5842833;815.7464579;-0.16222171;-0.010133787;3.00267486;828.6436759;828.603436;0.040200164;0.002471677;3.062251145;3266.784351;3267.055681;-0.271427589;-0.004233165;;;123353.2819;;
54;-80;;1146.578236;1146.392763;0.185365351;0.010845409;4.51191313;1103.49684;1103.384848;0.112012002;0.006809489;4.1437856;1123.712592;1123.64682;0.065769682;0.003926373;4.081056186;1157.073072;1157.044775;0.028340348;0.001643106;3.88530974;4530.860741;4530.469206;0.391487384;0.005796397;;;169711.1308;;
55;-79;;1212.707558;1211.517248;1.190331471;0.070436887;5.019074793;1168.186325;1167.58853;0.597790309;0.036721894;4.202190066;1190.508491;1189.561473;0.946884575;0.057075913;4.596376287;1222.990217;1221.825529;1.164680784;0.068339571;4.54833111;4794.392591;4790.492781;3.899687138;0.058369301;;;181242.7213;;
56;-78;;1079.74744;1079.465428;0.282058094;0.016784631;4.233653446;1039.37164;1039.279116;0.092506098;0.005718668;3.408049385;1061.289798;1061.058646;0.231260573;0.014001128;3.413879499;1091.806298;1091.311031;0.495269995;0.029146864;3.605235922;4272.215176;4271.114221;1.10109476;0.016560254;;;158597.0352;;
57;-77;;1222.636647;1222.360397;0.276242931;0.015545809;4.960330897;1179.265302;1178.836911;0.428379879;0.024994077;4.102494427;1200.180837;1199.904725;0.276184877;0.015833348;3.951394844;1237.078773;1236.59996;0.478814679;0.026631134;4.402374224;4839.161559;4837.701993;1.459622367;0.020753433;;;177521.9974;;
59;-76;;1262.1798;1261.725295;0.454574424;0.028133972;5.163118229;1218.836338;1218.637763;0.198665749;0.012732828;3.714580939;1238.498098;1238.374875;0.12316971;0.007768834;3.62598296;1277.274197;1276.416537;0.857656644;0.052453757;4.076399122;4996.788433;4995.15447;1.634066527;0.025546185;;;178417.3366;;
60;-75;;1251.758091;1251.379658;0.378416012;0.022938807;4.954709052;1206.703575;1206.509332;0.194218444;0.012212697;4.046364673;1230.823048;1230.488845;0.334149245;0.02059997;3.708817907;1264.275806;1263.727506;0.548338566;0.032910061;3.954547316;4953.56052;4952.105341;1.455122267;0.022289675;;;176168.7997;;
61;-74;;1031.436329;1031.285919;0.150417783;0.009413441;4.041517204;997.0438551;997.0115883;0.032276613;0.00208961;2.996501363;1012.32719;1012.11575;0.211426913;0.013481276;2.925149741;1045.320402;1045.06466;0.255739136;0.015792082;3.280534628;4086.127775;4085.477916;0.649860445;0.010265965;;;146069.9133;;
62;-73;;953.1825638;953.1100291;0.07255506;0.004316589;3.754047398;917.7786536;917.8357732;-0.057136071;-0.00353038;3.062496901;935.3836304;935.5591547;-0.17552773;-0.010641554;2.702647953;962.6317773;962.619937;0.011931952;0.000702911;3.015085445;3768.976625;3769.124894;-0.148176789;-0.002229491;;;130343.7316;;
63;-72;;925.45121;926.3773972;-0.92622374;-0.059843321;3.647193826;895.4301499;896.1627489;-0.732593696;-0.048919811;2.863619294;908.8789828;909.7696906;-0.890709602;-0.058598079;2.821921936;938.1376894;938.3481221;-0.210452215;-0.013413442;2.717651211;3667.898032;3670.657959;-2.759979254;-0.044992681;;;132096.3998;;
64;-71;;1269.981123;1269.94094;0.040198864;0.002380255;5.118041232;1224.132684;1224.196403;-0.063724618;-0.003914585;3.772708873;1244.974207;1244.955744;0.018519989;0.001118632;3.530880936;1281.403564;1281.440413;-0.036834605;-0.002161608;3.859573041;5020.491579;5020.533501;-0.041840371;-0.000626695;;;166674.4248;;
65;-70;;1092.845506;1092.773382;0.072148091;0.00442861;4.487908333;1054.81332;1054.976694;-0.163418552;-0.010392671;3.538999777;1074.065761;1073.775996;0.289843284;0.018102301;3.574486581;1100.157573;1100.505909;-0.348263091;-0.021235083;3.84354798;4321.882159;4322.03198;-0.149690269;-0.00232339;;;155061.4528;;
66;-69;;1112.254375;1112.56238;-0.308018945;-0.017963731;4.471736856;1068.519028;1068.936925;-0.417937931;-0.025371887;3.638230633;1090.780698;1091.030159;-0.249545378;-0.014840049;3.438694094;1122.239699;1122.428771;-0.188993474;-0.010924069;3.329996879;4393.793801;4394.958234;-1.164495728;-0.017191805;;;166372.9854;;
67;-68;;1017.895301;1017.658459;0.236829844;0.014049237;4.197639307;982.2038748;982.106842;0.09708328;0.005968459;3.088299581;1001.333693;1001.006073;0.327604827;0.019755631;2.888697563;1026.273916;1026.07856;0.19533103;0.011492841;3.015658591;4027.706785;4026.849933;0.85684898;0.012845939;;;137081.6079;;
69;-67;;1255.096962;1255.224083;-0.127069751;-0.00764259;4.934717492;1212.326082;1212.582429;-0.256327408;-0.015960676;4.105037347;1236.112106;1236.474368;-0.362256896;-0.022122515;3.701346174;1268.422743;1268.168384;0.254331893;0.015136048;3.870519227;4971.957892;4972.449264;-0.491322162;-0.007459584;;;177670.6396;;
70;-66;;1092.386997;1092.640622;-0.25359486;-0.017190046;4.476911674;1054.959817;1055.126361;-0.166483614;-0.011685538;3.535955057;1070.943154;1071.184067;-0.24086278;-0.016653917;3.398898933;1106.134872;1106.340037;-0.205242713;-0.013739559;3.877987555;4324.42484;4325.291087;-0.866183968;-0.014831836;;;153000.7611;;
71;-65;;1263.901332;1263.394636;0.506733166;0.030750889;5.342919292;1218.957331;1218.744433;0.212897746;0.013395967;4.355279376;1241.706966;1241.456683;0.250264561;0.015458657;4.126473471;1275.867234;1275.310463;0.556730166;0.033468079;4.189878799;5000.432863;4998.906215;1.526625638;0.023416203;;;183695.484;;
72;-64;;1055.869976;1056.157266;-0.287408005;-0.017162994;4.315146584;1019.91141;1020.184053;-0.272635013;-0.016854808;3.112128945;1036.890606;1037.137353;-0.246725563;-0.015003267;3.679926638;1064.472936;1064.55487;-0.081971028;-0.00485546;4.239007968;4177.144927;4178.033542;-0.888739608;-0.013415276;;;150828.9972;;
73;-63;;1222.375841;1222.248284;0.12759437;0.007181821;5.262152767;1179.553046;1179.122988;0.430037603;0.025083998;3.885323172;1201.401991;1201.041788;0.360162586;0.020626144;4.471419102;1233.266729;1232.874461;0.392384199;0.021890834;4.513451256;4836.597608;4835.287522;1.310178758;0.018637961;;;169240.5525;;
74;-62;;867.2219018;867.1006557;0.12128056;0.00742825;3.407144565;836.6073542;836.4232997;0.184027407;0.011683861;2.716731432;853.678655;853.4363125;0.242329768;0.015077797;2.508260555;874.7602247;874.618142;0.142086016;0.008627557;2.571452989;3432.268136;3431.57841;0.689723752;0.010673811;;;130605.6519;;
75;-61;;1291.13477;1291.211766;-0.07689507;-0.004560179;5.086919408;1244.763162;1245.206131;-0.443038083;-0.027252684;3.797377592;1266.780194;1266.900717;-0.120584698;-0.00728863;4.462697455;1305.399293;1305.189597;0.209795409;0.012305735;4.301872914;5108.077418;5108.50821;-0.430722442;-0.006456468;;;189719.2842;;
76;-60;;1011.147291;1010.92308;0.224219411;0.013747577;4.01116715;974.248138;974.2516648;-0.003488898;-0.000222017;2.898967034;989.020754;989.0966243;-0.075893819;-0.004757386;3.086864875;1018.158251;1018.091656;0.066572488;0.004053656;3.224487376;3992.574435;3992.363025;0.211409182;0.003282753;;;149202.0925;;
77;-59;;1387.938717;1387.273992;0.66475759;0.038228392;5.906220458;1337.916276;1337.614295;0.301984947;0.018015626;4.603019505;1361.175995;1360.948557;0.227370594;0.013332544;4.45751534;1401.558831;1401.221819;0.337046757;0.01919428;5.040914282;5488.589819;5487.058663;1.531159888;0.022266542;;;204774.301;;
78;-58;;1069.422062;1069.529668;-0.107685831;-0.006179915;4.437827332;1031.077702;1031.222343;-0.144601477;-0.008607051;3.525976306;1052.329549;1052.367424;-0.037880024;-0.002209182;3.300936156;1079.565517;1079.636634;-0.071136921;-0.004044074;3.497680109;4232.394829;4232.756068;-0.361304253;-0.005239139;;;153445.8997;;
79;-57;;963.7171174;964.1109919;-0.393924251;-0.022915901;4.137133293;931.0679159;931.3034469;-0.23557427;-0.014184705;3.340249171;947.9362896;948.0799554;-0.14370663;-0.008499071;3.56484602;972.5642201;972.5400339;0.024182979;0.001394008;3.688989442;3815.285543;3816.034428;-0.749022172;-0.011006302;;;141431.644;;
80;-56;;943.4512748;943.5596936;-0.108436955;-0.006401197;4.171131518;911.4612304;911.3999771;0.061229883;0.003741352;3.081670905;927.4175573;927.5033922;-0.085875682;-0.005157013;2.832386484;952.3133146;952.3879603;-0.07466604;-0.004366632;2.898844192;3734.643377;3734.851023;-0.207748794;-0.003098081;;;131607.5455;;
81;-55;;1046.57794;1046.553996;0.023941483;0.001488988;4.824219099;1012.766922;1012.746398;0.020526175;0.001319199;3.817502794;1028.858718;1029.0811;-0.222404313;-0.014070168;3.782911573;1057.200685;1057.342173;-0.141429433;-0.008707514;4.37570963;4145.404265;4145.723667;-0.319366088;-0.00501457;;;144127.57;;
82;-54;;1305.543854;1305.616121;-0.072293773;-0.004399541;5.25307566;1260.274464;1260.301848;-0.027357676;-0.001724694;4.283433052;1278.134988;1278.261284;-0.12637372;-0.007855575;5.524775915;1312.664152;1313.046297;-0.38217923;-0.023131906;6.165673812;5156.617459;5157.22555;-0.608204398;-0.009370928;;;184317.1249;;
83;-53;;1035.736304;1035.539313;0.196957953;0.013851043;4.05867332;1000.355515;1000.133204;0.222259596;0.016183196;3.544299899;1017.302811;1017.045906;0.256965477;0.018398512;3.400777982;1049.236115;1049.029018;0.206981865;0.014368692;3.491839848;4102.630745;4101.747441;0.88316489;0.015679692;;;144104.3294;;
84;-52;;1063.566176;1063.950152;-0.384015188;-0.022863983;4.321626345;1027.610648;1028.043415;-0.432845549;-0.026673031;3.361940003;1044.94415;1044.980872;-0.03671302;-0.002224821;3.287478549;1072.655447;1073.173713;-0.518287459;-0.030596973;3.419236049;4208.77642;4210.148152;-1.371861216;-0.020640601;;;153591.6029;;
85;-51;;1219.717015;1219.807261;-0.090241207;-0.005393744;4.881253529;1174.352516;1174.628852;-0.276309714;-0.017153083;3.814546784;1197.345995;1197.47044;-0.124441356;-0.007576866;3.345439839;1231.839832;1231.921931;-0.082100382;-0.004858872;3.87216692;4823.255358;4823.828484;-0.57309266;-0.008662218;;;179047.3399;;
87;-50;;1051.903887;1052.210402;-0.306490894;-0.017538384;4.763101644;1016.837715;1016.952654;-0.114910812;-0.006802324;3.518853821;1037.390596;1037.25841;0.132281825;0.007675487;3.725838344;1063.381811;1063.527137;-0.145262008;-0.008222632;3.756287746;4169.514008;4169.948602;-0.434381888;-0.006270964;;;148400.9345;;
88;-49;;1109.128662;1109.445196;-0.316466893;-0.018425828;4.280112431;1070.72655;1070.845449;-0.118891851;-0.007170578;3.162043016;1088.900402;1088.957002;-0.056537116;-0.003352943;3.215690731;1117.964389;1118.502983;-0.538652516;-0.031114396;3.411650662;4386.720002;4387.75063;-1.030548377;-0.015170822;;;161693.5737;;
89;-48;;976.6880092;977.1007405;-0.412670147;-0.024004954;4.270856544;943.2777461;943.1183746;0.159394059;0.009600331;3.249840148;960.2797335;960.4555238;-0.175801104;-0.010401058;3.236183013;986.1390385;986.4613516;-0.322361359;-0.018571993;3.407568679;3866.384527;3867.13599;-0.75143855;-0.011041857;;;142872.9217;;
